name,vendor,link,price,description,characteristics,reviews
Moteur à cardan sans balais iPower Motor GM3506 avec encodeur AS5048A,iflight-rc,https://eu.robotshop.com//fr/products/moteur-cardan-sans-balais-ipower-motor-gm3506-encodeur-as5048a#,"Prix en promotion€48,29","Le moteur à cardan sans balais iPower Motor GM3506 avec encodeur AS5048A est le moteur à cardan sans balais ultime pour les reflex et les appareils photo de poids similaire. Ce moteur est conçu pour les plates-formes multi-rotors à grande échelle cherchant à soulever des engrenages de taille SLR - couple de 1,5 kg/cm. Le principe de la stabilisation de la caméra à l'aide de moteurs à entraînement direct sans balai. En fait, le cardan basé sur des moteurs BLDC est très similaire au cardan standard basé sur un servo de loisir. Les encodeurs sont des capteurs spéciaux qui sont ajoutés à chaque moteur sans balai d'un stabilisateur de cardan permettant au système de suivre plus précisément la position du moteur pour une stabilité accrue qui à son tour augmente également l'efficacité de la batterie.","Résistance : 5,57 ± 5 % Pré-enroulé : avec 130 tours, arbre de 3,17 mm Portée de la caméra : 200 - 500 g Tension : 12 V Courant : 1 A RPM : 2149 ~ 2375 Couple : 600 - 1000 g.cm Poids : 80,3 g",Average rating is 0.00 stars
Pololu Contrôleur de moteur pas à pas multi-interface USB Tic 36v4 (soudé),Pololu,https://eu.robotshop.com//fr/products/pololu-controleur-moteur-pas-pas-multi-interface-usb-tic-36v4-soude#,"Prix en promotion€71,39","Le contrôleur de moteur pas à pas multi-interface USB Pololu Tic 36v4 (soudé) facilite le contrôle de base d'un moteur pas à pas, avec une configuration rapide via USB à l'aide de notre logiciel gratuit. Le contrôleur prend en charge six interfaces de contrôle: USB, série TTL, I²C, tension analogique (potentiomètre), encodeur en quadrature et radiocommande hobby (RC). Cette version intègre un pilote de moteur pas à pas MOSFET discret et est livrée avec des broches d'en-tête et des borniers soudés. Il peut fonctionner de 8 à 50 V et peut fournir jusqu'à environ 4 A par phase sans dissipateur thermique ni flux d'air forcé (ou 6 A max avec un refroidissement supplémentaire suffisant).  La famille Tic de contrôleurs de moteur pas à pas permet d'ajouter facilement le contrôle de base d'un moteur pas à pas bipolaire à une variété de projets. Ces modules polyvalents et polyvalents prennent en charge six interfaces de contrôle différentes: USB pour une connexion directe à un ordinateur, série TTL et I²C pour une utilisation avec un microcontrôleur, des impulsions d'asservissement RC pour une utilisation dans un système RC, des tensions analogiques pour une utilisation avec un potentiomètre ou joystick analogique et encodeur en quadrature à utiliser avec un sélecteur rotatif.","Poids: 9,6 g Pilote de moteur: MOSFET discrets Interface de contrôle: USB; série TTL non inversé; I²C; Impulsions servo RC; tension analogique; encodeur en quadrature Tension de fonctionnement minimale: 8 V Tension de fonctionnement maximale: 50 V Courant continu par phase: 4 A Courant maximum par phase: 6 A Taux de pas maximum: 50000 PPS Résolutions Microstep: Full, 1/2, 1/4, 1/8, 1/16, 1/32, 1/64, 1/128 et 1/256 Protection contre la tension inverse: Oui Connecteurs soudés: Oui",Average rating is 0.00 stars
Mini module de caméra ArduCAM avec 2MP Plus OV2640 pour Arduino,ArduCAM,https://eu.robotshop.com//fr/products/mini-module-camera-arducam-2mp-plus-ov2640-pour-arduino#,"Prix en promotion€30,73","Le mini module de caméra ArduCAM avec 2MP Plus OV2640 pour Arduino est une version optimisée du blindage ArduCAM Rev.C, et est une caméra SPI 2MP haute définition, qui réduit la complexité de l'interface de contrôle de la caméra. Il intègre le capteur d'image CMOS 2MP OV2640 et fournit une taille miniature, ainsi qu'une interface matérielle facile à utiliser et une bibliothèque de codes open source.  Le module mini caméra ArduCAM peut être utilisé sur toutes les plates-formes telles que Arduino, Raspberry Pi, Maple, Chipkit, Beaglebone noir, à condition qu'ils aient une interface SPI et I2C et puissent être bien couplés avec les cartes Arduino standard. ArduCAM mini offre non seulement la possibilité d'ajouter une interface de caméra qui n'a pas dans certains microcontrôleurs à faible coût, mais offre également la possibilité d'ajouter plusieurs caméras à un seul microcontrôleur.  Traits:","Capteur d'image: OV2640 Taille de la matrice active: 1600 × 1200 Volet: volet roulant Objectif: 1/4 pouce Vitesse SPI: 8 MHz Tampon de trame: 8 Mo Température: -10 ℃ ～ + 55 ℃ Consommation électrique: Normal: 5V / 70mA / Mode basse consommation: 5V / 20mA Prise en charge du format: RAW, YUV, RVB, JPEG Prise en charge de la résolution: UXGA, SVGA, VGA, QVGA, CIF, QCIF",Average rating is 0.00 stars
Module adaptateur multi caméra Arducam V2.2 pour Raspberry Pi,ArduCAM,https://eu.robotshop.com//fr/products/module-adaptateur-multi-camera-arducam-v22-pour-raspberry-pi#,"Prix en promotion€57,61","Le module adaptateur multi-caméras ArduCam pour Raspberry Pi V2.2 est conçu pour connecter jusqu'à 4 cartes de caméra ArduCAM Mini sur un seul microcontrôleur, y compris la plate-forme Arduino, BeagleBone Black et Raspberry Pi. Veuillez noter que la carte adaptateur multi-caméra Raspberry Pi est un produit naissant qui peut avoir des problèmes de stabilité et des limitations en raison de l'intégrité du signal du câble et des bibliothèques de noyau vidéo à source fermée de RPi, alors utilisez-la à vos risques et périls. La carte adaptateur peut être bien associée à ces plates-formes ardware open source populaires, mais sans s'y limiter, vous pouvez également connecter cette carte adaptateur à n'importe quelle plate-forme que vous connaissez tant qu'elle dispose d'une interface I2C et SPI gratuite.  Des commutateurs DIP sont utilisés ici pour une configuration facile à empiler. Lorsqu'une seule carte adaptateur multi-caméras est utilisée, les commutateurs 1 et 5 doivent être mis en position ON. Si deux cartes adaptatrices multi-caméras sont utilisées, la carte inférieure doit être commutée 1 et 5 sur ON et la carte supérieure doit être commutée 2 et 6 sur la position ON, et si 3 ou 4 cartes adaptatrices multi-caméras sont utilisées ensemble, chaque couche de carte doit être configuré. En tant que fonctionnement normal de l'appareil photo, l'utilisateur peut toujours utiliser la commande raspistill ou raspivid pour prendre des photos ou des vidéos. En contrôlant les GPIO selon la configuration des tableaux 1 et 2, l'utilisateur peut prendre des photos ou des vidéos en basculant entre différentes caméras.","Prise en charge de la caméra 5MP OV5647/8MP IMX219/12MP IMX477 pour Raspberry Pi, pas de mélange autorisé Prend en charge Raspberry Pi modèle A/B/B+, Pi 2 et Raspberry Pi 4, 3,3b+. 3 GPIO requis pour le multiplexage Les caméras fonctionnent en séquentiel, pas simultanément",Average rating is 4.00 stars
Kit pH-mètre Analogique DFRobot Gravity,DFRobot,https://eu.robotshop.com//fr/products/kit-ph-metre-analogique-dfrobot-gravity#,"Prix en promotion€34,00","Le Kit mesureur de pH analogique est spécialement conçu pour les contrôleurs Arduino et dispose de caractéristiques et connexions simples, pratiques et commodes. Il dispose d'une DEL pour travailler comme témoin d'alimentation, d'un connecteur BNC et de l'interface de capteur de PH2.0. Pour l'utiliser, il suffit de connecter le capteur de pH avec connecteur BND, et de brancher l'interface PH2.0 dans le port d'entrée analogique de n'importe quel contrôleur Arduino. S'il a été pré-programmé, vous obtiendrez facilement la valeur du pH. Livré dans une boîte en plastique compacte dotée de mousse pour un meilleur stockage lors des déplacements. Applications","Puissance du module : 5 V Température de prise de mesure : 0 à 60 ? Délai de réponse : ≤ 1 minute Capteur de pH avec connecteur BNC Interface pH2.0 (cordon de 91,41 cm) Potentiomètre de réglage de gain Indicateur DEL d'alimentation",Average rating is 4.18 stars
Relais Ethernet Devantech ETH008-B 8 x 16 A,Devantech,https://eu.robotshop.com//fr/products/relais-ethernet-devantech-eth008-b-8-x-16-a#,"Prix en promotion€83,19","Le relais Ethernet Devantech ETH008-B 8 x 16 A fournit des sorties de relais à contact libre de huit volts avec un courant nominal allant jusqu'à 16 A. Le module est alimenté à partir d'une alimentation 12 Vcc qui peut être régulée ou non régulée. La prise d'entrée CC est de 2,1 mm avec une polarité de noyau positive, les alimentations CC sont nécessaires pour fournir au moins 500 mA à 12 V CC. Les relais sont de type SPCO (Single Pole Change Over) avec les broches normalement ouvertes, normalement fermées et communes, toutes disponibles sur les bornes à vis.","Relais : 8 Alimentation : adaptateur 12V DC, fourni séparément Interface de configuration et de test : HTTP (page Web) Courant de relais : jusqu'à 16 ampères à 24 VDC ou 250 VAC Température de fonctionnement : -40 à +70 °C Connexions : bornes à vis pour contacts N/ON/C et commun Connexion Ethernet : 100 Mo en duplex intégral",Average rating is 0.00 stars
Contrôleur de Moteur Regénératif Sabertooth 2 x 60A 6V-30V Dimension Engineering,Dimension Engineering,https://eu.robotshop.com//fr/products/controleur-moteur-regeneratif-sabertooth-2-x-60a-6v-30v-dimension-engineering#,"Prix en promotion€196,53","Le Pilote double de moteur régénérateur 60 A de 6 à 30 V Sabertooth est un des pilotes double de moteur les plus polyvalents, efficaces et faciles à utiliser. Il est adapté aux robots à haute intensité : jusqu'à 120 livres (54,43 kg) en combat ou 1000 livres (453,59 kg) pour la robotique universelle. Dès sa sortie de la boîte, le Sabertooth peut alimenter deux moteurs CC à brosse avec 60 A maximum chacun. Des courants de crête de 120 A par canal peuvent être supportés quelques secondes. La protection thermique et contre les surintensités vous permet de ne pas vous inquiéter à l'idée de tuer le pilote avec des calages accidentels ou d'installer un moteur trop gros.  Il vous permet de contrôler deux moteurs avec : la tension analogique, le contrôle radio, sériel et sériel en paquets. Vous pourrez créer autant de robots différents d'une complexité croissante dans les années à venir, compatibles avec un Sabertooth. Applications","6 à 30 V nominal, 33,6 V de maximum absolu Commande à régénération synchrone Fréquence de commutation à ultrasons Protection thermique et contre les surintensités Mode de protection au lithium Modes d'entrée : analogique, R/C, sériel simplifié, sériel en paquets",Average rating is 4.74 stars
Chevalet Magnétique pour AxiDraw - Tabloïde/A3,Evil Mad Scientist,https://eu.robotshop.com//fr/products/chevalet-magnetique-pour-axidraw-tabloide-a3#,"Prix en promotion€105,74","Le Chevalet Magnétique pour AxiDraw - Tabloïde/A3 est un outil de travail robuste qui offre une méthode alternative pour positionner le papier ou d’autres pièces à utiliser avec les AxiDraw V3 / A3 et AxiDraw SE / A3. Alternative robuste au chevalet à pince A3 classique, elle peut être utilisée avec des pinces à reliure ou le carré de positionnement (inclus) et les aimants.  La base du chevalet est une tôle d'acier magnétique très épaisse. Il présente une finition poudrée de couleur «gris chaud» pour un contraste visible avec la plupart des types de papier. Des amortisseurs en caoutchouc sur la face inférieure (ainsi que le poids important de l'acier) garantissent une prise en main antidérapante sur votre table de travail. Pour vous aider à indexer votre papier dans une position cohérente et reproductible, le chevalet comprend un carré de fixation en aluminium personnalisé, similaire à un carré d'encadrement miniature. Le carré de fixation est réversible, avec des marquages en pouces et en centimètres sur les deux côtés. Le carré de fixation est maintenu par une paire de serre-orteils personnalisés, ce qui vous permet de le déplacer dans diverses positions et de le serrer à l'aide d'une paire de vis à oreilles. Si vous le souhaitez, vous pouvez également supprimer complètement le carré en ne laissant qu'une surface plane en acier (avec quelques trous de montage pour la règle).","20,98 x 13,31 ""(53,3 x 33,8 cm)",Average rating is 5.00 stars
Serveur monocarte Zimaboard 832,IceWhale Technology Limited,https://eu.robotshop.com//fr/products/serveur-monocarte-zimaboard-832#,"Prix en promotion€230,37","Le serveur monocarte Zimaboard 832 est un serveur monocarte économique conçu pour les makers et les geeks. Zimaboard a à la fois l'extensibilité d'un SBC x86 et la puissance appropriée d'un microserveur. Avec ZimaBoard, vous pouvez configurer un cloud personnel de 4 téraoctets en 5 minutes, configurer un VPN sécurisé pour protéger votre empreinte numérique, régler votre réseau avec OpenWrt et pfSense, créer un serveur multimédia 4K qui fonctionne avec Plex, partager et collaborer avec les membres de l'équipe sur vos fichiers ou mettez à niveau vos projets intelligents sur différents systèmes. ZimaBoard est créé par des fabricants qui en ont assez des frais récurrents, des préréglages peu conviviaux et des systèmes isolés et qui souhaitent rendre l'expérience numérique à domicile plus attrayante et abordable.","Processeur : Intel Celeron N3450 Quad Core 1,1-2,2 GHz RAM : 8G LPDDR4 Stockage intégré : 32 Go eMMC Disque dur/SSD : 2 ports SATA 6,0 Gb/s LAN : 2 ports LAN GbE USB : 2x USB 3.0 PCle : 1x PCle 2.0 4x Affichage : 1x Mini-DisplayPort 1.2 4k à 60 Hz TDP : 6 W Poids : 278 grammes Refroidissement passif : Intel VT-d, VT-x, AES-NI | Prise en charge du transcodage vidéo 4K | H.264 (AVC), H.265 (HEVC), MPEG-2, VC-1 Système d'exploitation préinstallé : CasaOS (basé sur Debian) OS compatibles : Linux / Windows / OpenWrt / pfSense / Android / Libreelec",Average rating is 0.00 stars
Seeed Studio XIAO nRF52840,SeeedStudio,https://eu.robotshop.com//fr/products/seeedstudioxiaonrf52840-fr#,"Prix en promotion€12,93","Le Seeed Studio XIAO nRF52840 est une carte de développement Bluetooth ultra petite taille et ultra basse consommation basée sur le Nordic nRF52840. Il dispose d'une antenne Bluetooth intégrée, d'une puce de charge de batterie intégrée et d'une taille de pouce de 21 x 17,5 mm, ce qui le rend idéal pour les projets IoT. Seeed XIAO BLE a équipé un puissant MCU Nordic nRF52840 qui est conçu dans un module Bluetooth 5.0, construit autour d'un processeur ARM Cortex-M4 32 bits avec une unité à virgule flottante (FPU) fonctionnant à 64 Mhz. Avec la capacité de connexion sans fil, il reste le facteur de forme classique de la série Seeed XIAO, petit et exquis, qui peut être utilisé pour les appareils portables et les projets Internet des objets.","Processeur : ARM Cortex-M4 avec FPU fonctionnant jusqu'à 64 MHz Sans fil : Bluetooth 5.0 / NFC / Zigbee / Antenne Mémoire sur puce : 1 Mo de mémoire flash et 256 Ko de RAM Mémoire embarquée : 2 Mo de mémoire flash QSPI Antenne : Oui Interface : 1xUART, 1xIIC, 1xSPI, 1xNFC, 1xSWD, 11xGPIO (PWM), 6xADC Tension de fonctionnement du circuit : 3,3 V à 200 mA Courant de charge : 50 mA / 100 mA Tension d'entrée (VIN) : 5 V Consommation électrique en veille : <5 μA",Average rating is 0.00 stars
